City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
113,Ozark,US,2022-02-03 01:17:31,37.0209,-93.206,23.85,89,100,4.0,overcast clouds
114,Puerto Narino,CO,2022-02-03 01:19:15,-3.7703,-70.3831,75.15,98,97,0.34,moderate rain
115,Saint Anthony,US,2022-02-03 01:09:11,45.0205,-93.218,3.24,60,0,7.0,clear sky
116,Port Hedland,AU,2022-02-03 01:19:15,-20.3167,118.5667,87.85,42,84,10.36,broken clouds
117,Coihaique,CL,2022-02-03 01:19:15,-45.5752,-72.0662,60.75,67,40,8.05,scattered clouds
118,Alofi,NU,2022-02-03 01:19:16,-19.0595,-169.9187,80.49,83,75,13.8,broken clouds
119,Port-Gentil,GA,2022-02-03 01:19:16,-0.7193,8.7815,79.68,81,100,10.83,moderate rain
120,Palana,RU,2022-02-03 01:19:17,59.1167,159.9667,12.36,85,100,14.34,overcast clouds
121,Sao Joao Da Barra,BR,2022-02-03 01:19:17,-21.6403,-41.0511,74.71,91,100,6.42,moderate rain
122,Puerto Ayora,EC,2022-02-03 01:19:17,-0.7393,-90.3518,74.55,93,0,3.0,clear sky
123,Farah,AF,2022-02-03 01:19:18,32.5,62.5,37.94,53,0,6.82,clear sky
124,Aleksandrov Gay,RU,2022-02-03 01:19:18,50.147,48.5704,30.47,95,100,16.82,light snow
125,Padang,ID,2022-02-03 01:19:19,-0.9492,100.3543,79.83,80,70,3.44,broken clouds
126,Nueva Guinea,NI,2022-02-03 01:19:19,11.6876,-84.4562,68.88,87,17,6.44,few clouds
127,Catamarca,AR,2022-02-03 01:19:19,-28.4696,-65.7852,83.05,45,3,5.57,clear sky
128,Constitucion,CL,2022-02-03 01:16:21,-35.3333,-72.4167,58.12,87,69,5.48,broken clouds
129,Esperance,AU,2022-02-03 01:19:20,-33.8667,121.9,69.35,53,6,15.5,clear sky
130,Opunake,NZ,2022-02-03 01:19:20,-39.4556,173.8583,72.63,70,100,16.06,overcast clouds
131,Rio Grande,BR,2022-02-03 01:19:21,-32.035,-52.0986,73.85,85,0,18.79,clear sky
132,Sao Filipe,CV,2022-02-03 01:18:27,14.8961,-24.4956,73.69,75,0,12.21,clear sky
133,Tual,ID,2022-02-03 01:19:21,-5.6667,132.75,82.33,76,97,8.79,overcast clouds
134,Diapaga,BF,2022-02-03 01:19:22,12.0708,1.7889,67.95,11,5,6.87,clear sky
135,Shahr-E Babak,IR,2022-02-03 01:19:22,30.1165,55.1186,38.19,35,0,0.65,clear sky
136,Tuktoyaktuk,CA,2022-02-03 01:19:22,69.4541,-133.0374,-22.0,69,75,12.66,light snow
137,Arman,RU,2022-02-03 01:20:23,59.7,150.1667,12.36,79,100,10.85,overcast clouds
138,Hambantota,LK,2022-02-03 01:20:23,6.1241,81.1185,71.87,84,34,8.12,scattered clouds
139,Mamontovo,RU,2022-02-03 01:20:24,52.7055,81.6244,-4.09,100,100,3.15,overcast clouds
140,Celestun,MX,2022-02-03 01:20:24,20.8667,-90.4,79.65,68,0,7.85,clear sky
141,Norman Wells,CA,2022-02-03 01:20:24,65.282,-126.8329,-25.56,68,75,9.22,broken clouds
142,Lagoa,PT,2022-02-03 01:20:25,39.05,-27.9833,57.83,72,1,5.08,clear sky
143,Praia,CV,2022-02-03 01:20:25,14.9215,-23.5087,70.95,84,3,15.39,clear sky
144,Grindavik,IS,2022-02-03 01:20:26,63.8424,-22.4338,23.47,80,20,4.61,few clouds
145,Barrow,US,2022-02-03 01:20:26,71.2906,-156.7887,-20.18,69,40,3.44,scattered clouds
146,Avera,US,2022-02-03 01:20:26,33.194,-82.5271,62.47,81,100,6.46,overcast clouds
147,Itacoatiara,BR,2022-02-03 01:20:27,-3.1431,-58.4442,75.0,95,100,0.22,light rain
148,Galesong,ID,2022-02-03 01:20:27,-5.3166,119.3661,78.82,75,100,5.35,overcast clouds
149,Hobart,AU,2022-02-03 01:20:12,-42.8794,147.3294,60.66,89,75,24.16,broken clouds
150,Husavik,IS,2022-02-03 01:20:28,66.0449,-17.3389,6.71,92,86,1.28,overcast clouds
151,Falun,SE,2022-02-03 01:20:28,60.6036,15.626,20.95,98,97,2.13,overcast clouds
152,Xacmaz,AZ,2022-02-03 01:20:29,41.4635,48.806,40.05,74,100,1.7,overcast clouds
153,Bengkulu,ID,2022-02-03 01:20:29,-3.8004,102.2655,78.35,80,75,3.91,broken clouds
154,Kodiak,US,2022-02-03 01:20:29,57.79,-152.4072,36.91,93,100,11.5,mist
155,Biltine,TD,2022-02-03 01:20:30,14.5333,20.9167,62.46,12,4,8.23,clear sky
156,Turbat,PK,2022-02-03 01:20:30,26.0023,63.044,61.41,18,1,31.12,clear sky
157,San Jeronimo,PE,2022-02-03 01:20:30,-11.9472,-75.2829,53.11,78,96,4.09,overcast clouds
158,Hithadhoo,MV,2022-02-03 01:19:39,-0.6,73.0833,81.37,70,6,2.71,clear sky
159,Balsas,BR,2022-02-03 01:20:31,-7.5325,-46.0356,76.05,79,16,2.28,few clouds
160,Tanout,NE,2022-02-03 01:20:31,14.9709,8.8879,58.17,17,5,11.92,clear sky
161,Cap Malheureux,MU,2022-02-03 01:20:32,-19.9842,57.6142,79.29,91,100,18.01,moderate rain
162,Acandi,CO,2022-02-03 01:20:32,8.5063,-77.2778,75.96,91,4,5.46,clear sky
163,Ayan,RU,2022-02-03 01:20:33,56.45,138.1667,-3.01,65,100,16.42,overcast clouds
164,Qaanaaq,GL,2022-02-03 01:20:33,77.484,-69.3632,-10.7,83,100,6.93,overcast clouds
165,Minudasht,IR,2022-02-03 01:20:33,37.2289,55.3747,43.12,53,0,10.29,clear sky
166,Boueni,YT,2022-02-03 01:20:34,-12.9025,45.0761,78.78,74,100,9.42,overcast clouds
167,Ambilobe,MG,2022-02-03 01:20:34,-13.2,49.05,73.4,95,100,1.66,overcast clouds
168,Omsukchan,RU,2022-02-03 01:18:20,62.5333,155.8,-11.76,97,100,6.35,overcast clouds
169,Worthington,US,2022-02-03 01:18:58,40.0931,-83.018,39.83,95,100,1.99,mist
170,Mogocha,RU,2022-02-03 01:20:35,53.7333,119.7667,-10.82,84,14,3.96,few clouds
171,Terme,TR,2022-02-03 01:20:35,41.2092,36.9739,51.73,72,100,5.77,overcast clouds
172,Mount Gambier,AU,2022-02-03 01:18:38,-37.8333,140.7667,64.06,51,79,11.83,broken clouds
173,La Ronge,CA,2022-02-03 01:20:36,55.1001,-105.2842,-19.95,69,0,4.61,clear sky
174,Chimore,BO,2022-02-03 01:20:36,-16.9833,-65.1333,72.36,98,71,1.77,broken clouds
175,Molochnoye,RU,2022-02-03 01:20:37,59.2917,39.6787,9.64,97,95,6.42,overcast clouds
176,Miles City,US,2022-02-03 01:20:37,46.4083,-105.8406,1.51,65,0,6.91,clear sky
177,Kodinsk,RU,2022-02-03 01:20:37,58.6881,99.1844,2.64,98,100,2.82,overcast clouds
178,Krasnyy Yar,RU,2022-02-03 01:20:38,46.5331,48.3456,31.96,90,100,9.26,overcast clouds
179,Poronaysk,RU,2022-02-03 01:20:38,49.2167,143.1167,9.23,75,85,8.79,overcast clouds
180,Souillac,MU,2022-02-03 01:20:38,-20.5167,57.5167,79.18,94,75,27.63,shower rain
181,Belz,FR,2022-02-03 01:20:39,47.6751,-3.168,46.09,95,100,3.0,overcast clouds
182,Qinzhou,CN,2022-02-03 01:20:39,21.95,108.6167,47.62,78,100,13.82,overcast clouds
183,Roebourne,AU,2022-02-03 01:21:40,-20.7833,117.1333,86.52,59,55,12.84,broken clouds
184,Hovd,MN,2022-02-03 01:21:40,48.0056,91.6419,-6.83,97,89,1.81,overcast clouds
185,Severo-Kurilsk,RU,2022-02-03 01:20:47,50.6789,156.125,30.67,76,100,10.07,overcast clouds
186,Atocha,BO,2022-02-03 01:21:40,-20.9333,-66.2333,51.15,71,0,6.24,clear sky
187,Kutum,SD,2022-02-03 01:21:41,14.2,24.6667,62.51,21,36,10.65,scattered clouds
188,Elin Pelin,BG,2022-02-03 01:21:41,42.6667,23.6,31.82,86,100,9.22,overcast clouds
189,Pangkalanbuun,ID,2022-02-03 01:21:42,-2.6833,111.6167,78.22,86,100,1.63,moderate rain
190,Manbij,SY,2022-02-03 01:21:42,36.5281,37.9549,47.17,73,100,15.39,overcast clouds
