City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
415,Kampong Chhnang,KH,79.57,clear sky,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
420,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
424,Asuncion,PY,90.9,few clouds,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
426,Pemangkat,ID,78.48,scattered clouds,1.1667,108.9667,Ramah Kost KITA
433,Miandrivazo,MG,77.88,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
440,Trairi,BR,78.26,overcast clouds,-3.2778,-39.2689,janelas do mar
442,The Valley,AI,78.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
472,Omboue,GA,77.18,light rain,-1.5746,9.2618,Hotel Olako
478,Karratha,AU,86.38,few clouds,-20.7377,116.8463,ibis Styles Karratha
487,Mackay,AU,91.38,scattered clouds,-21.15,149.2,International Lodge Motel
489,Ahuimanu,US,79.86,broken clouds,21.4447,-157.8378,Paradise Bay Resort
491,Pando,UY,75.29,clear sky,-34.7167,-55.95,viviendas mvotma
492,Kerema,PG,85.35,overcast clouds,-7.9631,145.7785,Frena Lodge
494,Santa Cruz Do Sul,BR,75.99,clear sky,-29.7175,-52.4258,Hotel Antonio's
497,Carutapera,BR,76.44,overcast clouds,-1.195,-46.02,Lidera
498,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
500,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
502,Sao Jose Da Coroa Grande,BR,79.25,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
504,Saint-Joseph,RE,79.18,heavy intensity rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
520,Loiza,PR,77.86,scattered clouds,18.4313,-65.8802,Malibu Beachfront
521,Jizan,SA,76.14,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
527,Bonthe,SL,75.85,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
529,Moindou,NC,87.75,clear sky,-21.6924,165.677,Equi-lodge de Moindou
531,Caravelas,BR,76.37,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
532,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,Lindsey Hôtel
533,Thung Song,TH,78.44,few clouds,8.1645,99.6804,Jasmine Resort And Spa
