City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Lebu,CL,2022-01-30 20:56:38,-37.6167,-73.65,61.3,64,0,19.46
199,Falavarjan,IR,2022-01-30 20:59:25,32.5553,51.5097,31.68,32,4,6.53
200,Khani,GE,2022-01-30 20:59:25,41.9563,42.9566,33.37,82,100,7.58
201,Miri,MY,2022-01-30 20:59:26,4.4148,114.0089,75.34,100,40,3.44
202,Muyuka,CM,2022-01-30 20:59:26,4.2898,9.4103,76.6,75,82,2.37
203,Faanui,PF,2022-01-30 20:50:34,-16.4833,-151.75,80.2,73,11,7.52
204,Ilulissat,GL,2022-01-30 20:49:30,69.2167,-51.1,6.82,72,75,20.71
205,Maua,BR,2022-01-30 20:59:27,-23.6678,-46.4614,71.06,92,100,4.74
206,Namibe,AO,2022-01-30 20:58:06,-15.1961,12.1522,73.36,71,100,6.08
207,Rodos,GR,2022-01-30 20:59:27,36.4408,28.2225,54.79,76,40,3.0
208,Bubaque,GW,2022-01-30 20:59:28,11.2833,-15.8333,78.13,70,42,13.42
209,Ponta Do Sol,PT,2022-01-30 20:49:34,32.6667,-17.1,65.12,42,1,9.15
210,Belaya Gora,RU,2022-01-30 20:59:28,68.5333,146.4167,-31.99,100,82,1.66
211,Baruun-Urt,MN,2022-01-30 20:52:02,46.6806,113.2792,-6.65,95,92,4.97
212,Yeniseysk,RU,2022-01-30 20:59:29,58.4497,92.1703,-1.03,99,100,2.84
213,Aswan,EG,2022-01-30 20:59:29,24.0934,32.907,56.5,35,0,4.61
214,Kavaratti,IN,2022-01-30 20:59:29,10.5669,72.642,81.28,73,15,8.79
215,Carnarvon,AU,2022-01-30 20:52:34,-24.8667,113.6333,78.87,78,75,18.41
216,Sur,OM,2022-01-30 20:59:30,22.5667,59.5289,71.47,65,0,2.84
217,Pasni,PK,2022-01-30 20:59:31,25.2631,63.471,71.17,76,0,12.15
218,Kargat,RU,2022-01-30 20:59:31,55.1956,80.2811,9.59,97,82,8.52
